TimePST:date::HH:mm a,TemperatureC:real,DewPointC:real,Humidity:real,SeaLevelPressurehPa:real,VisibilityKm:real,WindDirection:string,WindSpeedKmH:string,GustSpeedKmH:string,Precipitationmm:string,Events:string,Conditions:string,WindDirDegrees:real,DateUTC:date::yyyy-MM-dd HH:mm:ss
# http://www.wunderground.com/history/airport/KSFO/2014/2/1/DailyHistory.html?req_city=San%20Francisco%20International&req_state=CA&req_statename=California&reqdb.zip=94128&reqdb.magic=6&reqdb.wmo=99999
10:56 PM,8.9,0.6,56,1018.5,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-05 06:56:00
11:56 PM,9.4,1.7,59,1018.7,14.5,SSE,5.6,-,N/A,,Clear,160,2014-01-05 07:56:00
12:56 AM,8.3,2.2,66,1018.7,16.1,South,7.4,-,N/A,,Clear,190,2014-01-05 08:56:00
1:56 AM,7.2,0.6,63,1019.2,16.1,SSW,7.4,-,N/A,,Clear,210,2014-01-05 09:56:00
2:56 AM,8.3,0.0,56,1019.5,16.1,SSE,13.0,-,N/A,,Clear,160,2014-01-05 10:56:00
3:56 AM,10.6,-1.7,43,1019.6,16.1,SE,9.3,-,N/A,,Clear,130,2014-01-05 11:56:00
4:56 AM,12.8,1.1,45,1019.6,16.1,ENE,16.7,-,N/A,,Clear,70,2014-01-05 12:56:00
5:56 AM,12.2,2.2,51,1020.1,16.1,ENE,18.5,-,N/A,,Clear,70,2014-01-05 13:56:00
6:56 AM,11.7,-0.6,43,1020.7,16.1,East,11.1,-,N/A,,Clear,100,2014-01-05 14:56:00
7:56 AM,12.8,-0.6,40,1021.4,16.1,East,20.4,-,N/A,,Clear,80,2014-01-05 15:56:00
8:56 AM,12.2,-1.1,40,1022.4,16.1,ESE,16.7,-,N/A,,Clear,120,2014-01-05 16:56:00
9:56 AM,13.9,-2.8,32,1022.9,16.1,SE,14.8,-,N/A,,Clear,140,2014-01-05 17:56:00
10:56 AM,16.1,-2.8,27,1022.7,16.1,ESE,13.0,-,N/A,,Partly Cloudy,120,2014-01-05 18:56:00
11:56 AM,16.1,-0.6,32,1021.8,16.1,ESE,9.3,-,N/A,,Clear,110,2014-01-05 19:56:00
12:56 PM,17.8,-2.8,25,1021.0,16.1,SE,9.3,-,N/A,,Partly Cloudy,130,2014-01-05 20:56:00
1:56 PM,18.3,-1.7,26,1020.4,16.1,East,5.6,-,N/A,,Partly Cloudy,100,2014-01-05 21:56:00
2:56 PM,18.3,-1.1,27,1020.3,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-05 22:56:00
3:56 PM,17.2,-1.1,29,1020.4,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-05 23:56:00
4:56 PM,15.0,0.0,36,1020.6,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 00:56:00
5:56 PM,15.6,-0.6,33,1021.0,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 01:56:00
6:56 PM,13.9,1.7,44,1021.5,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-06 02:56:00
7:56 PM,13.3,1.1,44,1021.8,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-06 03:56:00
8:56 PM,11.7,3.3,57,1022.1,16.1,NW,5.6,-,N/A,,Clear,320,2014-01-06 04:56:00
9:56 PM,10.6,0.6,50,1022.6,16.1,SW,7.4,-,N/A,,Partly Cloudy,220,2014-01-06 05:56:00
10:56 PM,11.1,0.6,49,1022.6,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 06:56:00
11:56 PM,10.6,2.8,59,1022.6,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 07:56:00
12:56 AM,10.6,3.3,61,1022.8,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 08:56:00
1:56 AM,8.3,1.1,61,1023.2,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 09:56:00
2:56 AM,7.2,0.0,60,1023.3,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 10:56:00
3:56 AM,7.8,1.1,63,1023.2,16.1,South,5.6,-,N/A,,Partly Cloudy,180,2014-01-06 11:56:00
4:56 AM,7.8,2.8,71,1023.0,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 12:56:00
5:56 AM,8.9,3.3,68,1023.3,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-06 13:56:00
6:56 AM,7.8,2.8,71,1023.9,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-06 14:56:00
7:56 AM,8.9,3.3,68,1024.5,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-06 15:56:00
8:56 AM,11.1,5.6,69,1025.1,16.1,ESE,5.6,-,N/A,,Mostly Cloudy,110,2014-01-06 16:56:00
9:56 AM,11.7,5.6,66,1025.4,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-06 17:56:00
10:56 AM,11.7,5.6,66,1025.4,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-06 18:56:00
11:56 AM,12.2,6.7,69,1024.1,16.1,ENE,5.6,-,N/A,,Mostly Cloudy,70,2014-01-06 19:56:00
12:56 PM,12.8,7.2,69,1022.7,16.1,ENE,7.4,-,N/A,,Mostly Cloudy,60,2014-01-06 20:56:00
1:56 PM,12.8,7.2,69,1022.0,16.1,NNE,7.4,-,N/A,,Mostly Cloudy,30,2014-01-06 21:56:00
2:56 PM,13.3,7.2,67,1021.8,14.5,NE,5.6,-,N/A,,Mostly Cloudy,40,2014-01-06 22:56:00
3:56 PM,12.8,7.2,69,1021.7,12.9,NE,5.6,-,N/A,,Mostly Cloudy,50,2014-01-06 23:56:00
4:56 PM,12.8,6.1,64,1021.6,12.9,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 00:56:00
5:56 PM,13.3,5.0,57,1022.0,14.5,NNW,5.6,-,N/A,,Mostly Cloudy,330,2014-01-07 01:56:00
6:56 PM,12.8,6.7,67,1022.2,14.5,Calm,Calm,-,N/A,,Overcast,0,2014-01-07 02:56:00
7:56 PM,12.8,6.1,64,1022.8,16.1,Calm,Calm,-,N/A,,Overcast,0,2014-01-07 03:56:00
8:56 PM,12.2,6.1,66,1022.7,16.1,ESE,9.3,-,N/A,,Overcast,120,2014-01-07 04:56:00
9:56 PM,12.8,4.4,57,1022.1,16.1,SE,11.1,-,N/A,,Mostly Cloudy,130,2014-01-07 05:56:00
10:56 PM,13.3,2.8,49,1021.8,16.1,South,7.4,-,N/A,,Mostly Cloudy,180,2014-01-07 06:56:00
11:56 PM,12.2,5.0,62,1022.2,14.5,NNW,14.8,-,N/A,,Mostly Cloudy,340,2014-01-07 07:56:00
12:56 AM,12.8,6.7,67,1022.2,16.1,NW,9.3,-,N/A,,Mostly Cloudy,320,2014-01-07 08:56:00
1:56 AM,10.6,6.1,74,1021.9,16.1,South,7.4,-,N/A,,Mostly Cloudy,180,2014-01-07 09:56:00
2:56 AM,10.0,5.6,74,1022.1,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 10:56:00
3:56 AM,9.4,5.6,77,1021.9,16.1,WSW,5.6,-,N/A,,Mostly Cloudy,240,2014-01-07 11:56:00
4:56 AM,9.4,5.0,74,1021.4,16.1,NW,5.6,-,N/A,,Scattered Clouds,310,2014-01-07 12:56:00
5:56 AM,8.3,3.9,74,1021.5,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 13:56:00
6:56 AM,10.6,6.1,74,1021.7,16.1,NNW,5.6,-,N/A,,Mostly Cloudy,340,2014-01-07 14:56:00
7:56 AM,10.0,6.7,80,1021.7,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 15:56:00
8:56 AM,11.1,7.8,80,1022.0,11.3,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 16:56:00
9:56 AM,12.2,7.2,72,1022.8,11.3,NNE,5.6,-,N/A,,Mostly Cloudy,30,2014-01-07 17:56:00
10:56 AM,12.8,7.2,69,1023.1,11.3,NNE,7.4,-,N/A,,Mostly Cloudy,30,2014-01-07 18:56:00
11:56 AM,12.2,6.1,66,1022.2,11.3,NNE,5.6,-,N/A,,Mostly Cloudy,20,2014-01-07 19:56:00
12:48 PM,13.0,6.0,63,1021.6,11.3,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 20:48:00
12:56 PM,13.3,6.1,62,1021.5,11.3,North,5.6,-,N/A,,Mostly Cloudy,360,2014-01-07 20:56:00
1:56 PM,13.3,6.1,62,1020.6,11.3,East,5.6,-,N/A,,Mostly Cloudy,90,2014-01-07 21:56:00
2:47 PM,13.0,8.0,72,1020.5,12.9,NNE,5.6,-,N/A,,Mostly Cloudy,20,2014-01-07 22:47:00
2:56 PM,12.8,7.2,69,1020.6,12.9,NNE,5.6,-,N/A,,Mostly Cloudy,20,2014-01-07 22:56:00
3:56 PM,13.3,6.7,64,1021.2,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-07 23:56:00
4:29 PM,16.0,5.0,48,1021.2,16.1,WNW,13.0,-,N/A,,Mostly Cloudy,290,2014-01-08 00:29:00
4:56 PM,15.0,6.1,55,1020.9,16.1,SW,9.3,-,N/A,,Scattered Clouds,230,2014-01-08 00:56:00
5:56 PM,13.9,5.0,55,1020.6,16.1,WNW,9.3,-,N/A,,Scattered Clouds,290,2014-01-08 01:56:00
6:56 PM,12.8,5.6,62,1020.7,16.1,West,14.8,-,N/A,,Partly Cloudy,280,2014-01-08 02:56:00
7:56 PM,12.8,5.6,62,1021.4,16.1,WNW,14.8,-,N/A,,Partly Cloudy,290,2014-01-08 03:56:00
8:18 PM,12.0,7.0,72,1021.6,16.1,West,20.4,-,N/A,,Partly Cloudy,280,2014-01-08 04:18:00
8:35 PM,13.0,9.0,77,1021.9,16.1,West,18.5,-,N/A,,Mostly Cloudy,270,2014-01-08 04:35:00
8:56 PM,13.3,9.4,77,1022.1,16.1,West,14.8,-,N/A,,Mostly Cloudy,280,2014-01-08 04:56:00
9:39 PM,13.0,11.0,88,1022.6,14.5,West,20.4,-,N/A,,Mostly Cloudy,270,2014-01-08 05:39:00
